tutorialarea_shop_title,売りもの一覧
dialog_privateRoomLeave_confirm,プライベートルームを退室します。\nよろしいですか?
dialog_publishConfig_title,プロフィール情報設定
dialog_publishConfig_publish,公開中
dialog_publishConfig_closed,非公開
dialog_purchaseCancel_title,キャンセル
dialog_purchaseCancel_message,購入をキャンセルしました。
dialog_purchaseComplete_billingAmountNotice,\n[FF0000]今月の合計課金額が{0}円になりました。[-]
dialog_purchaseComplete_message,[505050]「{0}」を購入しました。[-]
dialog_purchaseComplete_title,購入完了
dialog_purchaseFailed_message,購入に失敗しました。
dialog_purchaseFailed_messageOutOfTerm,アイテムの購入期限が切れているか\n制限数に達しているため購入できません。
dialog_queryInventoryFailed_message,購入情報の取得に失敗しました。
dialog_rankReward_itemDescription,{0} x{1}
dialog_rankUp_liveBoostLimitCaution,※ライブブーストは最大{0}までしか回復できません
dialog_rankUp_recoveryLiveBoost,ライブブーストが{0}回復しました！
dialog_rankUp_recoveryLiveBoostChange,[4C4C4C]ランク{0}になりましたので\nランクアップ時の\nライブブースト回復量が[-][FF3B72]{1}[-][4C4C4C]になりました！[-]
dialog_rankUp_recoveryLiveBoostFriendLimitChange,フレンドの上限が{0}増えました。
dialog_rankUp_bandStoryOpenBandName,{0}のバンドストーリー
dialog_rankUp_bandStoryOpenChapter,「{0}」が解放されました！
dialog_rankUp_mainStoryOpenChapter,メインストーリー「{0}」が解放されました！
dialog_rankUp_title,ランクアップ！
dialog_rankUp_getReward_title,報酬獲得
dialog_rankUp_getReward_message,以下の報酬を受け取りました！
dialog_rankUp_levelUpperLimitOpen_title,レベル上限解放
dialog_rankUp_levelUpperLimitOpen_message,レベル上限が解放されました！
dialog_rankUp_levelUpperLimitOpen_areaItem_message,「{0}」のレベル上限を解放しました！
dialog_rankUp_levelUpperLimitOpen_levelMax,最大レベル
dialog_recoverLiveBoost_title,ライブブースト回復
dialog_recoverLiveBoost_message,ライブブーストを{0}回復しました！
dialog_reviewRequest_message,ガルパを遊んでくれて、ありがとうございます。\n\nよろしければレビューをお願いします。\n開発の参考にさせていただきます。
dialog_reviewRequest_rejectionButton,キャンセル
dialog_reviewRequest_reviewButton,レビュー
dialog_reviewRequest_title,レビュー
dialog_rewardAreaItem_message,倉庫に送られました。
dialog_rewardAreaItem_talk,発生会話
dialog_rewardAreaItem_areaItemEffect,エリアアイテム効果
dialog_rewardItem_message,報酬を獲得しました！
dialog_rewardMusic_message,「{0}」\n新しい楽曲が解放されました！
dialog_rhythmAdjust_title,判定調節
dialog_rhythmAdjust_resultEnd,END
dialog_rhythmAdjust_resultStart,START
dialog_rhythmAdjust_message,音に合わせてマークをタップしてください。
dialog_rhythmAdjustReady_adjustButton,調節する
dialog_rhythmAdjustReady_message,リズムアイコンの判定タイミングを調節します。\n音に合わせてマークをタップしてください。
dialog_rhythmAdjustReady_title,判定調節
dialog_rhythmAdjustDone_title,調節完了
dialog_rhythmAdjustDone_retakeButton,再調整する
dialog_rhythmAdjustDone_decideButton,設定を反映
dialog_rhythmgameGameOverContinue_title,コンティニュー
dialog_rhythmgameGameOverContinue_message,スターを{0}個消費し、\nライフを全回復してコンティニューしますか？
dialog_rhythmgameGameOverGarupaCup_message,ライフがなくなってしまいました。\nガルパ杯ではコンティニューができません。\nガルパ杯TOPページに戻ります。
dialog_rhythmgameGameOver_title,ライブ失敗
dialog_rhythmgameGameOver_message,ライフがなくなってしまいました。\nスターを{0}個消費することで、\nライフを全回復してコンティニューできます
dialog_rhythmgameGameOver_continueButton,コンティニュー
dialog_rhythmgameGameOver_retireButton,リタイア
dialog_rhythmgameGameOverLackOfStar_message,スターが足りないため、\nコンティニューできません。
dialog_rhythmgameGameOverLackOfStar_title,スター不足
dialog_rhythmgameGameOverRetire_message,リタイアするとライブ報酬を獲得できません。\n消費したライブブーストも戻りませんが、\nよろしいですか？
dialog_rhythmgameGameOverRetire_challengeLiveMessage,リタイアするとライブ報酬を獲得できません。\n消費したチャレンジPも戻りませんが、\nよろしいですか？
dialog_rhythmgameGameOverRetire_title,リタイア
dialog_rhythmgamePause_body,ライブを中断してホームに戻りますか？\n※消費したライブブーストは戻りません※
dialog_rhythmgamePause_challengeLiveBody,ライブを中断してホームに戻りますか？\n※消費したチャレンジPは戻りません※
dialog_rhythmgamePause_resume,再開
dialog_rhythmgamePause_retire,中断
dialog_rhythmgamePause_title,一時停止
dialog_rhythmgamePause_garupaCupBody,{0}ライブを中断して\nガルパ杯TOPページに戻りますか？[-]\n{1}※挑戦可能回数は戻りません。[-]
dialog_scenario_skip,このストーリーをスキップしてもよろしいですか？
dialog_scenario_skipTitle,スキップ
dialog_skillPracticePrePractice_message1,選択した控え室メンバーがいなくなります。\nスキル練習してもよろしいですか？
dialog_skillPracticePrePractice_message2,★3以上のメンバーが選択されています。
dialog_situationTrainingPreTraining_message,選択したチケットを消費して練習します。\nよろしいですか？
dialog_situationTrainingPreTraining_message2,※一致しないキャラ用のスキル練習チケットが\n選択されています。
dialog_situationTrainingPreTraining_title,確認
dialog_storyConfirm_message,ボイスデータをダウンロードして、\nストーリーを見ますか？
dialog_storyConfirm_title,ストーリー再生
dialog_storyReward_title,ストーリー達成ボーナス
dialog_soloLiveLackOfMember_message,ライブをはじめるにはメンバーが５人必要です。\nバンドを編成してください。
dialog_soloLiveLackOfMember_title,メンバー不足
dialog_sort_captionAttribute,タイプ絞り込み
dialog_sort_captionBand,バンド絞り込み
dialog_sort_sortingOrder,ソート順
dialog_sort_title,並べ替え
dialog_specialTraining_title,確認
dialog_specialTrainingParamUp_title,特訓結果
dialog_specialTraining_message,アイテムを消費して\n[{0}]{1}を特訓します。\nよろしいですか？
dialog_starShop_actOnSettlement,資金決済に基づく表記
dialog_starShop_notPermitPurchase,購入が行えません。端末の設定を確認してください。
dialog_starShop_buyableCount,あと{0}回
dialog_starShop_buyableCountOneTime,１回限定
dialog_starShop_buyablePeriod,{0}まで
dialog_starShop_buyPremiumPass,購入する
dialog_starShop_buyStarFormat,¥{0}
dialog_starShop_currencyGuidelines,サービス内通貨\nガイドライン
dialog_starShop_detailButton,詳細
dialog_starShop_salesPeriod,販売期間
dialog_starShop_limitedButton,限定
dialog_starShop_liveBoost,ライブ\nブースト
dialog_starShop_liveBoostDescription3,ライブブーストを３回復
dialog_starShop_liveBoostDescription10,ライブブーストを１０回復
dialog_starShop_premiumPassButton,プレミアム\nハッピーＢＯＸ
dialog_starShop_premiumPassGiveTiming,１日１回プレゼント
dialog_starShop_premiumPassPeriod,プレミアムパスの有効期限は{0}日です。
dialog_starShop_premiumPassRestCount,[FF395A]あと{0}回[-]
dialog_starShop_purchased,[FF395A]購入済み[-]\n[606060]有効期限　{0}まで[-]
dialog_starShop_purchasedLabel,購入済み
dialog_starShop_recoverLiveBoost,回復
dialog_starShop_specifiedCommercialTransactionsLaw,特定商取引法に\n基づく表記
dialog_starShop_starCampaignBalloon,キャンペーン中!
dialog_starShop_title,スターショップ
dialog_takeOver_clipboard,引き継ぎID\n{0}\nパスワード\n{1}
dialog_takeOver_descriptionReset,すでに引き継ぎ設定が完了しています。\n再設定すると以前の引き継ぎ設定は破棄されます。\nよろしいですか？
dialog_takeOver_descriptionSettingFinish,[FE2349]引き継ぎID・パスワードはセキュリティ上、\nこの画面を閉じると再表示されません。[-]\n[505050FF]スクリーンショット等で必ず控えてください。[-]
dialog_takeOver_descriptionSetting,「データ引き継ぎ」には、引き継ぎID・パスワードの両方が必要です。\nパスワードを設定してください。
dialog_takeOver_descriptionTakeoverId,（パスワード設定後、自動的に発行されます）
dialog_takeOver_descriptionSettingWarning,[505050FF]※入力したパスワードは一度のみ有効となります。\n[FE2349]※異なるOSで引き継ぎを行った場合、\n所持していた有償スターは消失しますので、ご注意ください。[-]
dialog_takeOver_descriptionSettingCopy,ID・パスワードをコピー
dialog_takeOver_errorInvalidPassword,不正な文字が含まれています。\nパスワードは半角英数で入力してください。
dialog_takeOver_errorPasswordLimit,パスワードは半角英数8文字〜16文字で\n入力してください。
dialog_takeOver_passwordLimit,※半角英数8文字〜16文字
dialog_takeOver_reset,再設定する
dialog_takeOver_titleSetting,引き継ぎ設定
dialog_takeOver_titleSettingFinish,引き継ぎ設定完了
dialog_totalParam_title,総合力詳細
dialog_totalParam_bandParameter,バンドパラメーター
dialog_totalParam_bonusAreaItem,エリアアイテムボーナス
dialog_trainingError_message,練習に失敗しました。
dialog_unlockArea_contentsText,「{0}」がマップで解放されました！
dialog_unlockArea_title,エリア解放
dialog_unlockAreaItem_contentsText,「{0}」の{1}に\n「{2}」が入荷しました！
dialog_unlockAreaItem_title,エリアアイテム解放
dialog_unlockBandStory_contentsText,{0}のバンドストーリー\n「{1}」が解放されました！
dialog_unlockBandStory_title,バンドストーリー解放
dialog_unlockEventStory_contentsText,イベントストーリー\n「{0}」が解放されました！
dialog_unlockEventStory_title,イベントストーリー解放
dialog_unlockMainStory_contentsText,メインストーリー\n「{0}」が解放されました！
dialog_unlockMainStory_title,メインストーリー解放
dialog_unlockPrivateRoom_title,プライベートルーム開放
dialog_unlockPrivateRoom_description,[505050]ルームを開放してメンバーを募集します。\nよろしいですか？[-]
dialog_unlockPrivateRoom_descriptionWarning,[505050]ルームを開放してメンバーを募集します。\nよろしいですか？[-]\n\n[FE2349]※入室待ちのメンバーがいます。[-]
dialog_unlockPrivateRoom_cantUse,ルーム開放機能はメンバー2人以上から\n使用できます。
dialog_userRankReward_title,ランク詳細
dialog_userRankReward_descriptionTitle,ランク報酬一覧
dialog_userRankReward_friendLimitDescription,フレンド数上限　{0} → {1}
dialog_userRankReward_mainStoryDescription,メインストーリー{0}\n{1}
dialog_waitingRoomExchangeConfirm_body,控え室のメンバー {0}人と\nミッシェルシール {1}枚を交換します。\nよろしいですか？
dialog_waitingRoomExchangeDone_title,交換完了
dialog_waitingRoomExchangeDone_body,メンバーを\nミッシェルシールに交換しました。
dialog_webViewPickUpMember_title,ピックアップメンバー
dialog_weekdayRoomInvalidError_message,曜日が変わりました。\nライブ選択に移動します。
dialog_versusLBWarning_title,ライブブースト消費確認
dialog_versusLBWarning_description,[505050]対バンライブでは、[-][FE2B4B]マッチングが完了した\nタイミングでライブブーストが消費[-][505050]されます。\nよろしいですか?[-]
dialog_versusLBWarning_addDescription,[505050]\n\n※総合力の近いプレイヤーと優先的に\nマッチングされます。[-]
dialog_versusLBWarning_notDisplay,本イベントでは以降表示しない
dialog_versusPrivateRoom_eventRoom,イベント楽曲ルーム
dialog_versusPrivateRoom_selectRoom,みんなで選曲ルーム
dialog_whatIsHighScoreRating_title,ハイスコアレーティングとは？
dialog_whatIsHighScoreRating_content1,ハイスコアレーティングは、フリーライブで記録された\n楽曲のハイスコアから算出される数値です。
dialog_whatIsHighScoreRating_content2,各バンド楽曲の上位3曲のハイスコアレーティングの合計が、\nバンドごとのハイスコアレーティングとなります。\nまた、5バンド、及びその他の楽曲の\nハイスコアレーティングの合計により、\n合計のハイスコアレーティングが算出されます。
dialog_whatIsHighScoreRating_content3,ハイスコアを伸ばすにはメンバーの総合力や\nエリアアイテムの効果なども重要になります。\n高いハイスコアレーティングを目指してみましょう。
event_menu_auto,オート
event_menu_log,ログ
event_menu_menu,メニュー
event_menu_skip,早送り
event_menu_skipAll,スキップ
event_menu_visible,×非表示
exchangeList_description_body,交換所を選択してください
exchangeList_cell_expire,[505050]交換期限[-]  [FF3B71]{0}[-] [505050]まで[-]
friendList_cell_approvalButtonLabel,承認
friendList_cell_lastLoginAtLessOneHour,1時間未満
friendList_cell_lastLoginAtLessSixHour,6時間未満
friendList_cell_lastLoginAtLessThreeHour,3時間未満
friendList_cell_lastLoginAtLessTwelveHour,12時間未満
friendList_cell_lastLoginAtLessTwentyFourHour,24時間未満
friendList_cell_lastLoginAtMoreThanOneMonthAgo,1ヶ月以上前
friendList_cell_lastLoginAtOneDayOrMoreSuffix,{0}日前
friendList_cell_rejectionButtonLabel,拒否
friendList_contents_emptyMessageApplication,申請中のプレイヤーはいません。
friendList_contents_emptyMessageApproval,承認待ちのプレイヤーはいません。
friendList_contents_emptyMessageFriend,フレンドはいません。
friendList_contents_numberOfPeopleSeparator,/
friendList_sortingType_rank,ランク
friendList_sortingOrder_asc,昇順
friendList_sortingOrder_desc,降順
friendList_tab_friendList,フレンドリスト
friendList_tab_applyList,申請中リスト
friendList_tab_approvalList,承認待ちリスト
gacha_result_spinButton,もう1度引く
gacha_result_omakeTitle,セット内容入手
gacha_result_omakeContent,セット内容がプレゼントに送られました。
gacha_top_step,STEP\n{0}/{1}！
gacha_top_timesOnly,{0}回限定
gacha_top_omakeSet,セットでもらえる！
gacha_top_oneTimeOnlyDaily,1日1回\n限定！
gacha_top_restCount,あと\n{0}回
gacha_top_spinExecuted,引き終わりました
gacha_top_spinPaid,有償スターで!
gacha_top_spinButton,{0}回ガチャ
gacha_top_spinButtonPaid,{0}回ガチャ\n(有償スター)
gacha_top_spinButtonLock_once_a_day,本日分は\n引き終わりました。\n4時にリセット\nされます
gacha_unexpectedError_message,予期せぬエラーが発生しました。\nタイトルに戻ります。
garupaCup_deckSelect_areaItemBonusCaution,※エリアアイテムボーナス無効
garupaCup_deckSelect_bandDescription,指定バンドでのプレイ限定
garupaCup_deckSelect_caution,メンバーの各パラメーターはガルパ杯専用です。\nガルパ杯のライブではスキルは発動しません。\nライブクリアしても経験値及び報酬はもらえません。
garupaCup_result_secondQualificationDescription,東京ビッグサイトで会場本予選ライブに参加している1次予選突破者は\nスタッフの集計が終わるまで、この画面でお待ち下さい。
garupaCup_situationDetail_description,このメンバーの各パラメーターはガルパ杯専用です。\nガルパ杯のライブではスキルは発動しません。
garupaCup_secondQualification_openDate,会場本予選開催期間
garupaCup_tutorialSlide_title,ガルパ杯　１次予選に参加しよう！
header_mainTitle_band,バンド
header_mainTitle_bandStory,バンドストーリー
header_mainTitle_challengeLive,チャレンジライブ
header_mainTitle_event,イベント
header_mainTitle_exchange,交換所
header_mainTitle_freeLive,フリーライブ
header_mainTitle_friendList,フレンド
header_mainTitle_gacha,ガチャ
header_mainTitle_garupaCup,ガルパ杯
header_mainTitle_live,ライブ
header_mainTitle_mainStory,メインストーリー
header_mainTitle_multiLive,協力ライブ
header_mainTitle_notice,お知らせ
header_mainTitle_other,その他
header_mainTitle_present,プレゼント
header_mainTitle_shop,ショップ
header_mainTitle_story,ストーリー
header_mainTitle_versusLive,対バンライブ
header_mainTitle_warehouse,エリアアイテム
header_mainTitle_mission,ミッション
header_mainTitle_eventRewardBoxGacha,まりなさんのごほうび箱
header_starShopBalloon_beginnerCampaign,初心者限定キャンペーン中♪
header_starShopBalloon_premiumHappyBox,プレミアムハッピーBOX♪
header_starShopBalloon_starIncrease,お得なキャンペーン中♪
header_subTitle_areaShop,ショップ
header_subTitle_areaWarehouse,倉庫
header_subTitle_bandMenu,ＴＯＰ
header_subTitle_bandSelect,バンドストーリー選択
header_subTitle_bandStorySelect,バンドストーリー選択
header_subTitle_challengeEventDeckSelect,最終確認
header_subTitle_costumeSelect,コスチューム選択
header_subTitle_deckEdit,バンド編成
header_subTitle_degreeSelect,称号選択
header_subTitle_eventBadgeExchange,バッジ交換所
header_subTitle_exchange,シール交換所
header_subTitle_exchangeList,交換所選択
header_subTitle_freeLiveDeckSelect,バンド確認
header_subTitle_freeLiveMusicSelect,楽曲選択
header_subTitle_friendList,一覧
header_subTitle_gachaResult,ガチャ結果
header_subTitle_gachaTop,ＴＯＰ
header_subTitle_inventory,持ちもの
header_subTitle_liveCostume,ライブ衣装
header_subTitle_liveSelect,ライブ選択
header_subTitle_mainStorySelect,メインストーリー選択
header_subTitle_memberList,メンバー一覧
header_subTitle_multiLiveDeckSelect,最終確認
header_subTitle_multiLiveLevelSelect,ルーム選択
header_subTitle_multiLiveMusicSelect,楽曲リクエスト
header_subTitle_multiLiveMutching,マッチング
header_subTitle_multiLiveShuffle,楽曲シャッフル
header_subTitle_musicShop,楽曲ショップ
header_subTitle_noticeDetail,お知らせ内容
header_subTitle_noticeList,お知らせ一覧
header_subTitle_presentList,一覧
header_subTitle_profile,プロフィール
header_subTitle_profile_others,プロフィール
header_subTitle_ranking,累計イベントPランキング
header_subTitle_reward,累計イベントP報酬
header_subTitle_scoreRanking,スコアランキング
header_subTitle_scoreRankingReward,スコアランキング報酬
header_subTitle_situationDetail,メンバー詳細
header_subTitle_skillPractice,スキル練習
header_subTitle_skillPracticeList,スキル練習メンバー選択
header_subTitle_specialTraining,特訓
header_subTitle_storySelect,ストーリー選択
header_subTitle_training,練習
header_subTitle_waitingRoom,控え室
header_subTitle_mission,ミッション一覧
label_nickName_placeholder,ニックネーム（10文字以内）
live_musicSelect_achievementButton,達成報酬
live_musicSelect_lockMusic,この楽曲はロックされています
live_musicSelect_selectDifficulty,難易度選択
live_musicSelect_musicHighScoreRating,楽曲ハイスコアレーティング
live_soloLiveLoading_dataDownLoading,ローディング中…
live_reward_liveBoost,すべてのEXP
live_reward_liveBoostEffectText,報酬・EXP
liveTop_buttonName_eventTop,イベントTOP
loginBonus_message_costumeNameFormat,衣装「{0}」
loginBonus_message_getItem,{0}を獲得しました！
loginBonus_period_dateFormat,開催期間　MM/dd　HH:mmまで
map_presentList_deliveryDate,獲得日時
map_presentList_expiredAt,受け取り期限
map_presentList_receivedDate,受け取り日時
map_presentList_giveButton,受け取る
map_presentList_bulkReceiptButton,一括で受け取る
map_presentList_tabNotReceived,未受け取り
map_presentList_tabReceived,受け取り済み
menuList_notice_button,お知らせ
menuList_home_button,ホーム
menuList_myProfile_button,プロフィール
menuList_album_button,アルバム
menuList_friendList_button,フレンド
menuList_exchange_button,交換所
menuList_inventory_button,持ちもの
menuList_option_button,オプション
menuList_achievement_button,実績
menuList_starShop_button,スター\nショップ
menuList_playerStar_button,所持スター\n確認
menuList_takeOverData_button,データ\n引き継ぎ
menuList_help_button,FAQ
menuList_support_button,サポート
menuList_termsOfService_button,利用規約
menuList_title_button,タイトルに\n戻る
memorialStory_storyCell_eventPublishAt,{0}年{1}月{2}日〜
memorialStory_storySelect_message,バンドストーリー1章を読むことで、より思い出のストーリーを楽しめます
mission_complete_notice,ミッション達成！
mission_tab_normal,通常
mission_tab_event,期間限定
mission_bulk_receive,一括で受け取る
mission_detail_button,詳細
mission_receive_button,受け取る
mission_noMissionNormal_message,現在挑戦可能な通常ミッションはありません。
mission_noMissionEvent_message,現在挑戦可能な期間限定ミッションはありません。
mission_transitionButton_live,ライブ
mission_transitionButton_practice,練習
mission_transitionButton_story,ストーリー
mission_transitionButton_training,特訓
mission_transitionButton_member,メンバー
mission_transitionButton_skillPractive,スキル練習
mission_transitionButton_map,マップ
mission_transitionButton_costume,衣装
mission_transitionButton_profile,プロフィール
mission_transitionButton_friend,フレンド
multiPlay_abDownloadRetryableError_message,通信エラーが発生しました。\nもう一度通信を行います。
multiPlay_deckSelect_message,難易度を選んだら「準備完了！」を押してね！
multiPlay_entrance_lockRoomMessage,メインバンドの\n総合力を上げよう！
multiPlay_entrance_outOfTerm,曜日ルームは現在開催されておりません。\n詳細はお知らせをご確認ください。
multiPlay_ingameError_message,通信が切断されました。\nホームに戻ります。
multiPlay_limitedTimeOverDialog_title,制限時間オーバー
multiPlay_limitedTimeOverDialog_contents,ルームを解散します。
multiPlay_liveReward_waitingMessage,他のメンバーを待っています...
multiPlay_matching_decideButton,このメンバーで開始
multiPlay_matching_liveDifficultyCaption,ルーム
multiPlay_matching_memberDecision,メンバーが決まったよ！　曲をリクエストしよう！
multiPlay_matching_nextDifficulty,メンバーが決まったよ！　難易度を選択しよう！
multiPlay_matching_rewardTypeCaption,ルームタイプ
multiPlay_matching_waitingMessage,マッチング中......メンバーが揃うまで待ってね！
multiPlay_messageSelectDifficulty_label,難易度を選んだら「準備完了！」を押してね！
multiPlay_messageWaitingMember_label,他のメンバーが難易度選択中！ ちょっと待っててね！
multiPlay_musicSelect_randomSelect,楽曲はおまかせにしたよ！
multiPlay_musicShuffle_musicDecision,曲が決まったよ！　難易度を選ぼう!
multiPlay_musicShuffle_waitingForMember,他のメンバーが楽曲を決めるまで待ってね！
multiPlay_result_canNotApplyButtonLabel,申請不可
multiPlay_result_membersScore,メンバーのスコア
multiPlay_result_membersScore2lines,メンバーの\nスコア
multiPlay_result_waitingMember,演奏中のメンバーを待っています......
multiPlay_roomDisconnected_message,接続が切断されました。\nルーム選択に戻ります。
multiPlay_roomEntryFailed_message,ネットワークに接続できません。\n通信環境の良いところでもう一度お試しください。
multiPlay_roomEntryPhotonError_message,通信エラーが発生しました。\n通信環境の良いところでもう一度お試しください。
multiPlay_roomNetworkError_message,通信エラーが発生したため、\nルーム選択に戻ります。\n通信環境の良いところでもう一度お試しください。
multiPlay_roomNetworkError_messageToHome,通信が切断されました。\nホームに戻ります。
multiPlay_userCell_notSelectState,選択中...
multiPlay_userCell_selectedState,準備完了!
multiPlay_userCell_selectingMusic,選曲中...
multiPlay_userCell_selectedMusic,OK!
multiPlay_userCell_waitingEmptyState,募集中...
multiPlay_userCell_waitingState,待機中...
multiPlay_userDownloadProgress_done,準備完了♪
multiPlay_userDisconnected_message, さんが切断されました。\nルーム選択に戻ります。
multiPlay_userDisconnected_messageWithName,{0}さんが切断されました。\nルーム選択に戻ります。
multiPlay_versusMatchingType_event,イベント楽曲
multiPlay_versusMatchingType_select,みんなで選曲
multiPlay_waitingUser_message,他のメンバーが準備しています......
musicSelect_musicInfoTabCaption_difficulty,難易度選択
musicSelect_musicInfoTabCaption_howToGet,解放条件
myProfile_contentCaption_clearMusicNum,クリア楽曲数
myProfile_contentCaption_fullComboMusicNum,フルコンボ楽曲数
myProfile_contentCaption_comment,一言コメント
myProfile_contentCaption_playerName,プレイヤー名
myProfile_contentCaption_rank,ランク
myProfile_closedCaption_message,非公開の情報です。
myProfile_closedCaption_word,非公開
myProfile_buttonCaption_changeDegree,称号変更
notice_insideGame_title,ゲームのお知らせ
notice_outsideGame_title,バンドリのお知らせ
notice_maintenance_title,メンテナンス情報
presentList_logEmpty_message,過去１週間、受け取ったプレゼントはありません。
presentList_noData_message,受け取れるプレゼントはありません。
rhythmgame_skillTelop_playEncoreSkill,スキルアンコール！
rhythmgame_skillTelop_playMultiSkill,[FDE333]{0}[-] の\nスキル発動！
rhythmgame_skillTelop_playMultiEncoreSkill,[FDE333]{0}[-] の\nスキルアンコール！
rhythmgame_skillTelop_playSkill,スキル発動！
rhythmgame_titleBoard_arranger,編曲 : 
rhythmgame_titleBoard_lyricist,作詞 : 
rhythmgame_titleBoard_composer,作曲 : 
stamp_rareStamp_notHaveStamp,レアスタンプを所持していません。
stamp_rareStamp_obtainingRoute,レアスタンプはイベント等で手に入れることができます。
stamp_tabName_history,履歴
stamp_tabName_rare,レアスタンプ
stamp_tabName_standard,基本スタンプ
story_select_captionSynopsis,あらすじ
story_select_howToGet,解放条件
story_select_lock,このストーリーはロックされています
story_select_noStory,閲覧可能なストーリーはありません。
story_select_readButton,読む
story_select_releaseConditionBand,・{0}\nバンドランク{0}で解放
story_select_releaseConditionAllBand,・全てのバンドの\nバンドランクが{0}以上で解放
story_select_transitionMemorialStoryMessage,メンバーたちの活躍は\n思い出のストーリーでも見られます
story_select_transitionMemorialStory,思い出のストーリーへ
story_select_lockMessageLater,・一定期間後解放
story_select_lockMessageAllBandRank,・全てのバンドランク {0}以上
story_select_lockMessageBandRank,・{0}のバンドランク {1}以上
story_select_lockMessageUserRank,・ユーザーのランク {0}以上
story_top_mainStoryCaption,みんなでライブを盛り上げよう！
story_top_bandStoryCaption,バンドごとのオリジナルストーリー！
story_top_memorialStoryCaption,思い出のストーリーを読み返そう！
storyEvent_complete_story,すべてのストーリーを解放しました。
storyEvent_ranking_description,イベントPが同じ場合、順位は先着順となります。
storyEvent_ranking_tabMyRank,自分の順位
storyEvent_ranking_tabTopXXX,TOP10
storyEvent_ranking_noDataWithMyRank,このイベントには参加していません。
storyEvent_ranking_noDataWithTopXXX,現在、ランキングを集計中です。
storyEvent_requireNextStory,次のストーリーまで
storyEvent_result_baseEventPoint,基本イベントP
storyEvent_result_gotEventPoint,獲得イベントP
storyEvent_result_gotEventBadges,獲得バッジ
storyEvent_result_gotEventMedals,獲得メダル
storyEvent_result_memberBonus,メンバーボーナス
storyEvent_result_nextEventPoints,次のイベントP報酬
storyEvent_result_requireNextEventFormat,「{0}」
storyEvent_result_scoreBonus,スコアボーナス
storyEvent_result_usedLiveBoost,消費ライブブースト
storyEvent_reward_pickUpMemberButton,ピックアップメンバー
storyEvent_reward_rankingRewardDescription,ランキング報酬は、イベント終了後２週間以内にログインすると受け取れます。
storyEvent_reward_tabRankingReward,ランキング報酬
storyEvent_reward_tabTotalEventPointReward,累計イベントP報酬
storyEvent_reward_totalEventP,累計イベントP
storyEvent_eventLoginReward_dialogPopup,イベントログインボーナス
storyEvent_eventLoginReward_received,プレゼントを受け取りました！\n※次のログインボーナスプレゼントは翌日の4時以降受け取れます。
storyEvent_story_description,限定ストーリーをみよう!
storyEvent_exchange_description,アイテムと交換しよう!
storyEvent_exchange_limitBalloon,まで交換可能
bandstory_rewardList,バンドランク報酬一覧
tutorial_slideTitle_a,さあ、はじめよう！
tutorial_slideTitle_b,ライブ中の操作を覚えよう！
tutorial_slideTitle_c,ライブ終了！ お疲れさまでした♪
tutorial_slideTitle_d,エリアで日常会話を見よう！
tutorial_slideTitle_e,チュートリアルクリア！
tutorial_slideTitle_areaItemEnter,エリアアイテムを買おう！
tutorial_slideTitle_areaItemPurchase,エリアアイテム設置完了！
tutorial_slideTitle_Costume,キャラクターの衣装を変更しよう！
tutorial_slideTitle_Exchange,交換所で貴重品を手に入れよう！
tutorial_slideTitle_friend,フレンドを作ろう！
tutorial_slideTitle_multiPlay,協力ライブを遊んでみよう！
tutorial_slideTitle_musicShop,楽曲を交換しよう！
tutorial_slideTitle_training,メンバーを特訓しよう！
tutorial_slideTitle_bandStory,バンドストーリーを見よう！
tutorial_slideTitle_practice,メンバーを練習しよう！
tutorial_slideTitle_situationDetail,エピソードを見よう！
tutorial_slideTitle_skillPractice,スキル練習をしよう！
tutorial_slideWindow_liveButton,新しい楽曲が増えたよ！\nライブから遊んでみよう♪
tutorial_slideWindow_storyButton,メインストーリーの続きは！\nストーリーから読めるよ♪
versusEvent_result_noBonusMember_Description,対バンライブイベントでは\nライブの貢献順位に応じて算出される貢献Pと\n個人のスコアに応じて算出されるスコアボーナスの\n合計が、獲得イベントPになります。
versusEvent_top_attention,対バンライブ以外ではイベントP等を獲得することはできません
warehouse_checkEffect,効果確認
warehouse_checkEffectTitle,設置エリアアイテム効果一覧
warehouse_checkEffectTitleAfter,エリアアイテム一括変更完了
warehouse_notHave,この場所に設置する\nエリアアイテムを所持していません。
warehouse_recommend,おすすめ一括変更
word_achievementFee,達成報酬
word_actOnSettlement,資金決済に基づく表記
word_areaItemBonus,エリアアイテムボーナス
word_attribute_cool,クール
word_attribute_happy,ハッピー
word_attribute_powerful,パワフル
word_attribute_pure,ピュア
word_all,すべて
word_band_afterglow,Afterglow
word_band_helloHappyWorld,ハロー、ハッピーワールド！
word_band_pastelPalettes,Pastel＊Palettes
word_band_popipa,Poppin' Party
word_band_roselia,Roselia
word_band,バンド
word_bandEdit,バンド編成
word_bandParameter,バンドパラメーター
word_bandrank,バンドランク
word_bandrankEXP,バンドランクEXP
word_betweenFrom,〜
word_birthDay,誕生日
word_buy,購入
word_canNotApplyFriendRequest,申請不可
word_change,変更
word_challengeOK,挑戦可能
word_challengeNG,挑戦終了
word_challengeLive,チャレンジライブ
word_challengeLiveBonus,チャレンジライブボーナス
word_coin,コイン
word_coinCount,コイン x {0}
word_confirm,確認
word_countNum,x {0}
word_countUnit,回
word_constellation,星座
word_contribution_points,貢献P
word_copy,コピー
word_copyId,IDをコピー
word_costume,衣装
